	DRUG	CTRL	EC50	PARENT_ID	DATE
94	CDV	10.51	3.453	177	2014-03-28 00:00:00
95	FOS	146.1	71.05	177	2014-03-28 00:00:00
96	ACV	1.355	>40.0	75	2025-07-30 16:15:44
97	PCV	5.448	>160.0	75	2025-07-30 16:15:44
98	CDV	9.841	2.328	75	2025-07-30 16:15:44
99	FOS	148.8	78.79	75	2025-07-30 16:15:44
100	ACV	1.588	0.9532	727	2024-07-12 00:00:00
101	CDV	9.608	7.837	727	2024-07-12 00:00:00
102	FOS	71.00	68.45	727	2024-07-12 00:00:00
103	ACV	1.675	17.82	30	2011-01-31 00:00:00
104	PCV	7.126	41.41	30	2011-01-31 00:00:00
105	CDV	9.155	2.822	30	2011-01-31 00:00:00
106	FOS	164.3	56.12	30	2011-01-31 00:00:00
107	ACV	1.191	0.4345	533	2020-12-21 00:00:00
108	CDV	16.76	2.33	533	2020-12-21 00:00:00
109	FOS	124.	64.66	533	2020-12-21 00:00:00
110	ACV	0.2849	1.033	571	2021-04-30 00:00:00
111	CDV	<1.5625	27.66	571	2021-04-30 00:00:00
112	FOS	62.03	101.2	571	2021-04-30 00:00:00
113	ACV	1.018	>40.0	408	2018-03-12 00:00:00
114	PCV	2.448	>160.0	408	2018-03-12 00:00:00
115	CDV	10.93	8.219	408	2018-03-12 00:00:00
116	FOS	135.1	117.	408	2018-03-12 00:00:00
117	ACV	1.613	>40.0	62	2025-07-30 16:15:43
118	PCV	6.653	>160.0	62	2025-07-30 16:15:43
119	CDV	14.77	46.29	62	2025-07-30 16:15:43
120	FOS	240.7	112.2	62	2025-07-30 16:15:43
121	ACV	1.543	0.4382	758	2025-07-21 00:00:00
122	CDV	9.230	9.167	758	2025-07-21 00:00:00
123	FOS	70.18	51.76	758	2025-07-21 00:00:00
124	ACV	2.951	28.41	27	2010-12-10 00:00:00
125	PCV	5.027	137.6	27	2010-12-10 00:00:00
126	CDV	12.12	<1.5625	27	2010-12-10 00:00:00
127	FOS	115.8	104.4	27	2010-12-10 00:00:00
128	ACV	1.039	>40.0	788	2019-06-21 00:00:00
129	PCV	3.324	124.1	788	2019-06-21 00:00:00
130	CDV	8.176	3.553	788	2019-06-21 00:00:00
131	FOS	109.5	174.7	788	2019-06-21 00:00:00
132	ACV	1.646	>40.0	185	2014-05-16 00:00:00
133	PCV	7.937	>160.0	185	2014-05-16 00:00:00
134	CDV	9.63	3.235	185	2014-05-16 00:00:00
135	FOS	130.2	72.83	185	2014-05-16 00:00:00
136	ACV	1.270	14.52	276	2025-07-30 16:15:48
137	PCV	5.376	11.22	276	2025-07-30 16:15:48
138	CDV	9.991	7.491	276	2025-07-30 16:15:48
139	FOS	149.1	54.98	276	2025-07-30 16:15:48
140	ACV	1.025	>40.0	516	2020-09-07 00:00:00
141	CDV	14.67	6.788	516	2020-09-07 00:00:00
142	FOS	114.9	138.6	516	2020-09-07 00:00:00
143	ACV	1.343	>40.0	696	2023-06-05 00:00:00
144	CDV	9.281	<1.5625	696	2023-06-05 00:00:00
145	FOS	66.94	59.28	696	2023-06-05 00:00:00
146	ACV	2.113	2.882	267	2015-12-21 00:00:00
147	PCV	8.515	13.91	267	2015-12-21 00:00:00
148	CDV	13.54	139.6	267	2015-12-21 00:00:00
149	FOS	211.6	54.00	267	2015-12-21 00:00:00
150	ACV	2.615	2.5	292	2025-07-30 16:15:48
151	PCV	7.038	16.67	292	2025-07-30 16:15:48
152	CDV	20.78	90.57	292	2025-07-30 16:15:48
153	FOS	201.2	105.1	292	2025-07-30 16:15:48
154	ACV	0.5899	4.660	351	2017-05-12 00:00:00
155	PCV	3.992	55.85	351	2017-05-12 00:00:00
156	CDV	12.03	273.7	351	2017-05-12 00:00:00
157	FOS	122.	203.6	351	2017-05-12 00:00:00
158	ACV	0.7786	31.14	232	2015-04-13 00:00:00
159	PCV	3.119	99.25	232	2015-04-13 00:00:00
160	CDV	9.069	<1.5625	232	2015-04-13 00:00:00
161	FOS	145.8	53.41	232	2015-04-13 00:00:00
162	ACV	1.131	2.700	484	2019-10-14 00:00:00
163	PCV	3.111	3.419	484	2019-10-14 00:00:00
164	CDV	10.58	13.05	484	2019-10-14 00:00:00
165	FOS	120.6	100.0	484	2019-10-14 00:00:00
166	ACV	1.932	>40.0	782	2019-06-14 00:00:00
167	PCV	3.225	145.9	782	2019-06-14 00:00:00
168	CDV	10.65	<1.5625	782	2019-06-14 00:00:00
169	FOS	105.	72.97	782	2019-06-14 00:00:00
170	ACV	1.646	4.890	495	2019-12-20 00:00:00
171	PCV	4.774	10.74	495	2019-12-20 00:00:00
172	CDV	16.77	21.37	495	2019-12-20 00:00:00
173	FOS	98.57	288.6	495	2019-12-20 00:00:00
174	ACV	4.321	2.806	554	2021-02-05 00:00:00
175	CDV	42.04	48.15	554	2021-02-05 00:00:00
176	FOS	224.5	252.	554	2021-02-05 00:00:00
177	ACV	1.025	0.5256	512	2020-09-07 00:00:00
178	CDV	14.67	8.839	512	2020-09-07 00:00:00
179	FOS	114.9	83.33	512	2020-09-07 00:00:00
180	ACV	1.084	>40.0	458	2018-10-19 00:00:00
181	PCV	3.927	>160.0	458	2018-10-19 00:00:00
182	CDV	11.8	4.620	458	2018-10-19 00:00:00
183	FOS	126.7	135.8	458	2018-10-19 00:00:00
184	ACV	1.675	>40.0	29	2011-01-31 00:00:00
185	PCV	7.126	9.872	29	2011-01-31 00:00:00
186	CDV	9.155	1.969	29	2011-01-31 00:00:00
187	FOS	164.3	111.2	29	2011-01-31 00:00:00
188	ACV	1.505	>40.0	470	2019-05-03 00:00:00
189	PCV	4.758	>160.0	470	2019-05-03 00:00:00
