	LOCATION	FILENAME	DATE	RUNID
27	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/17	170523_157515_TK1.fas	2017-05-23 00:00:00	157515
28	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/17	170523_157515_TK2.fas	2017-05-23 00:00:00	157515
29	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/17	170523_157515_pol2.fas	2017-05-23 00:00:00	157515
30	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/17	170525_157612_pol1.fas	2017-05-25 00:00:00	157612
31	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/17	170908_159617_TK1.fas	2017-09-08 00:00:00	159617
32	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/17	170908_159617_TK2.fas	2017-09-08 00:00:00	159617
33	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/17	170908_159617_pol2.fas	2017-09-08 00:00:00	159617
34	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/17	170915_Renata-AN8GE.HSVamp.genomes.fas	2017-09-15 00:00:00	RENATA-AN8GE.HSVAMP.GENOMES
35	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/17	171004_160216_TK1.fas	2017-10-04 00:00:00	160216
36	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/17	171004_160216_pol1.fas	2017-10-04 00:00:00	160216
37	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/17	171013_160429_TK2.fas	2017-10-13 00:00:00	160429
38	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/17	171107_160926_TK1.fas	2017-11-07 00:00:00	160926
39	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/17	171107_160926_pol1.fas	2017-11-07 00:00:00	160926
